"CMCLoc","COMPANY","Division","Prodcode","ProductName","size","UnitWeight-KG","InStock"
"AP","ELEMENTIS","ADDITIVES","011188","HARDLEN® 16-LP","0.05KGP",0.02,0
"AP","ELEMENTIS","ADDITIVES","011188","HARDLEN® 16-LP","0.25KGP",0.11,0
"AP","ELEMENTIS","ADDITIVES","011188","HARDLEN® 16-LP","0.5KGP",0.23,0
"AP","ELEMENTIS","ADDITIVES","011500","Defom 8700","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","013988","HARDLEN® 14-LWP","0.15KGP",0.07,0
"AP","ELEMENTIS","ADDITIVES","013988","HARDLEN® 14-LWP","0.5KGP",0.23,0
"AP","ELEMENTIS","ADDITIVES","017700","HARDLEN® CY-9122P","0.05KGP",0.02,0
"AP","ELEMENTIS","ADDITIVES","017700","HARDLEN® CY-9122P","0.5KGP",0.23,0
"AP","ELEMENTIS","ADDITIVES","017700","HARDLEN® CY-9122P","20.0KGP",9.07,0
"AP","ELEMENTIS","ADDITIVES","021300","DeuWax FA-115","0.25KG",0.11,0
"AP","ELEMENTIS","ADDITIVES","021300","DeuWax FA-115","0.25KGP",0.11,0
"AP","ELEMENTIS","ADDITIVES","021600","Adherant 1121","0.08KG",0.04,0
"AP","ELEMENTIS","ADDITIVES","021600","Adherant 1121","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","021700","Adherant 1122","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","021800","Disponer 923S","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","022300","Catacure KC","0.08KG",0.04,0
"AP","ELEMENTIS","ADDITIVES","022300","Catacure KC","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","022500","Defom 5500","0.08KG",0.04,0
"AP","ELEMENTIS","ADDITIVES","022500","Defom 5500","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","022900","DeuWax FA-110","0.25KG",0.11,0
"AP","ELEMENTIS","ADDITIVES","022900","DeuWax FA-110","0.25KGP",0.11,0
"AP","ELEMENTIS","ADDITIVES","023300","BCO","0.08KG",0.04,0
"AP","ELEMENTIS","ADDITIVES","023300","BCO","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","023301","LA-302","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","023488","Defom 6600","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","023800","Levaslip 466","0.08KG",0.04,0
"AP","ELEMENTIS","ADDITIVES","023800","Levaslip 466","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","023988","Adherant PPB","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","024000","Disponer 983","0.08KG",0.04,0
"AP","ELEMENTIS","ADDITIVES","024000","Disponer 983","0.08KGP",0.04,0
"AP","ELEMENTIS","ADDITIVES","024300","Catacure KB","0.08KG",0.04,0
"AP","ELEMENTIS","ADDITIVES","024300","Catacure KB","0.08KGP",0.04,0
